Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,604,2291,2273,2518,2756,3430,1687,3760,0.000%,1.98258,101.31,0.23
contact-us,600,1950,1941,2233,2300,2399,1362,2515,0.000%,2.10307,65.01,0.27
Login,600,1799,1776,2046,2153,2281,1295,2401,0.000%,2.10301,64.22,0.29
Cart,600,2029,1989,2354,2435,2559,1437,2643,0.000%,2.09649,105.91,0.28
Clothes,600,2407,2424,2631,2699,2942,1779,3135,0.000%,2.08986,140.44,0.26
Men,600,2475,2479,2641,2712,2876,1917,2997,0.000%,2.09015,128.83,0.26
Women,600,2278,2293,2496,2555,2673,1667,2885,0.000%,2.09180,95.39,0.26
Accessories,600,2778,2710,3130,3270,5344,1556,7002,0.000%,2.08690,171.27,0.27
Stationery,600,2442,2432,2648,2757,4322,132,5704,0.333%,2.08445,98.29,0.27
HomeAccessories,588,2500,2498,2708,2802,2983,1089,3169,0.000%,2.05740,131.63,0.28
Art,563,2526,2516,2725,2800,3002,2017,3229,0.000%,1.98565,121.14,0.24
TOTAL,6555,2314,2357,2680,2828,3199,132,7002,0.031%,21.51558,1156.05,2.74
